source_alias,source_table,feature_field_count,variables
t1,pb_ads_credit.direct_send_in_out_para_data_df,255,"loan_total_fee, loan_total_interest, loan_interest_days, latitude, app_version, age, loan_interest_rate, user_withdrawal_ratio_now, reg_day, n_loan_period_days, usr_overdue_days_max, ng_pp_total_balance_off, pp_max_nibssfund_amt_3d, max_trans_amt_1m, cust_curr_overdue_bill_amt, c_first_3dig_bvn, pp_payoff_cnt, other_self_airtime_cnts, bus_pp_30d_aum, loan_penalty_rate, one_period_days, ng_ins_increase_currd_total_amt, cash_cur_day_ser_increase_cnt, loan_cust_account_status, pp_trans_amt_7d, pp_register_software, avg_balance_when_gt_0_90d, max_trans_amt_6m, available_balance_pp, pp_nibssfund_amt_3d, payer_repay_cnt_360d_v2, num_device_count, ng_same_nin_max_cur_overdue_day_cash_rt, total_storage, ng_cash_success_loan_cnt_d3, transfer_cnt_1m, databundle_airtime_amt_1m, ng_cash_settle_ratio, trans_days_60d, if_register_palmpay_device, ng_cash_withdraw_jy_reject_cnt, cash_days_from_last_incresed, ng_applist_pkgname_last_30_day_pd3_best5_cnt, ng_cash_success_loan_cnt_d14, max_authen_days, p20_total_finsave_amt_d30, total_vat_7d, n_cust_max_overdue_days, ins_max_cur_overdue_day_for_loan, ng_cash_loan_cnt_7d, pp_last_reg_days, hours_since_last_launch, other_airtime_cnt, cust_last_market_increase_days, pp_trans_days_14d, phone_model, ratio_install_90d, ng_ins_reg_sx_days, min_authen_days, pc_counter_sx_curday_succ_cnt, ng_collect_cuiji_ptp_times_30d, ng_total_loyalty_cnt_rate, total_memory, transfer_cnt_3m, c_gender, installment_loan_rank, self_airtime_vat, ng_appname_opay_dd, ng_loan_continue_reject_cnt3, max_continue_days, ng_max_trans_amt, self_airtime_vat_60d, pp_register_second_channel, app38_install_days, total_daily_vat_14d, trans_days_cnt, max_verify_days, coupon_amt, ng_pp_regular_trans_order_cnt_60d_off, okcard_last3_max_overdue_days, user_recent_overdue_day, pp_trans_amt_3d, ng_applist_small_1000_b_ratio10_90_days_update_sum_rt, app55_install_days, inst_cnt_30d, payer_repay_cnt_30d, databundle_amt_3m, ng_applist_pkgname_last_30_day_pd3_worst5_cnt, credit_day, nibssfund_cnt_7d, sdcard_used_capacity_rate, pp_kyc_profession, total_balance_pay_amt_rate, same_device_info_differ_regmobile_last30_cnt_plampay, cus_all_product_curr_overdue_cnt, ng_same_bvn_max_cur_overdue_day_cash_rt, ng_td_witld_amt_in_bi_rt, cust_last2_overdue_days, trans_cnt, ng_pdl_is_first_order, ng_la3times_quota_use_ratio_cash_avg_rt, withdraw_apply_total_cnt, cust_tier, min_pass_verify_days, n_cust_last1_overdue_days, ng_same_ipaddress_card_cnt_cash_rt, same_device_info_differ_regmobile_total_cnt_plampay, ng_cash_total_duedate_repay_cnt_rt, ng_faceid_max_overdue_days_emi, p80_total_finsave_amt_d90, pay_100up_cnt, num_connect_user_device, num_device_log_7day, phone_system, ng_applist_small_1000_b_ratio10_30_days_update_sum_rt, approval_result1, pp_nibssfund_days_3d, total_performing_facility_ratio, p50_balance_amt_d30, phone_width, bus_application_gps_address_detail, total_daily_vam_3d, same_bvn_curr_overdue_days, trans_amt_3d, same_device_info_differ_regmobile_last30_cnt, betting_customer_id_pp_count, ng_nin_age_rt, used_memory, max_continue_days_6m, stragety_flag_ser, ng_pp_regular_trans_order_cnt_3d_off, card_pay_days, cash_jy_curr_day_cnt, ng_la360ds_bi_overdue_ds_cash_avg_off, flag_offline_limit_adjust, wifi_conneted, ng_collect_cuiji_unconnect_times_30d, electricity_amt_3m, cat_tools_avg_install_days, same_device_info_differ_regmobile_total_cnt, longitude_latitude_sx_succ_cnt_1d, balance_pay_cnt, ng_flexi_last_settlement_days_off, ng_loan_continue_reject_cnt5, gps_city, ins_max_available_term, kyc_tier, databundle_airtime_cnt_1m, longitude_latitude_sx_succ_cnt_7d, pp_trans_cnt_7d, same_inflow_payer_union_other_new_pp_acct_cnt_30d, if_af_reject, ng_compare_target_img_matches_similarity_zy_rt, cash_his_repay_cnt, ng_la30ds_quota_use_ratio_cash_min_off, cnt_apply_30d_type7, ng_ins_period_use_ratio, cash_increase_cnt_last_30d, total_finsave_amt_20w_days_d30, ins_last_loan_term, installment_period_ratio_last5_orders, available_balance_total, payer_amount_median_180d_v2, ng_la30ds_bi_paid_penalty_cash_avg_off, cash_settle_loan_cnt, curr_loan_terms, max_paid_interest_180d_t7, ng_cash_overdue_7d_ratio, p20_total_finsave_amt_d60, ng_same_bvn_card_no_overduedays_ins, ng_cash_total_jy_months_off, cust_last1_overdue_days, max_trans_amt_3m, transfer_amt_1m_2m, ng_cash_success_loan_cnt_d7, total_pay_50_rate, flexi_last2_max_overdue_days, longitude, ng_la3times_bi_overdue_ds_cash_avg_rt, loan_period_days, airtime_amt_3m, card_pay_cnt, trans_mon_rate, databundle_airtime_amt_2m_3m, ca1_last2_bill_max_overdue_days, flexi_apply_last1_sx_days, max_total_finsave_amt_d30, cash_last3_bill_max_overdue_days, payee_start_of_month_amount_ratio_180d, jy_last_bankcard_days, max_cur_overdue_day_for_loan, ng_indepcash_curday_succ_order_user, p50_total_finsave_amt_d30, ins_days_from_last_ser_incresed, okcard_jy_cnt, avg_last_rnk3_use_rate, total_coupon_cnt_rate, ng_cash_cycle_ratio_off, avg_balance_amt_d90, pp_trans_cnt_3d, cash_bill_cnt, longitude_latitude_apply_cnt_1d, ng_appname_drive_dd, build_board, coupon_cnt, user_first_quota, cash_avg_loantime_term_rnk10, avg_balance_amt_d60, disk_free_total_space, payer_avg_txn_per_payee_shift_7d_vs_180d, cash_his_active_repay_cnt, databundle_airtime_amt_1m_2m, ng_same_longitude_order_user_l3d_off, payer_txn_count_weekend_360d_v2, ng_same_latitude_apply_user_l3d_off, payee_avg_txn_per_payer_60d, ng_pdlcash_new_curday_succ_order, payee_avg_txn_per_payer_shift_7d_vs_180d, app_num, jy_last_bvn_days, ng_pdlcash_curday_succ_order, ng_applist_small_1000_b_cnt_days_update_mean_rt, cal_first_credit_use_rate, ng_total_coupon_amt_rate_3d, total_pay_0_rate, transfer_amt_1m, ng_applist_small_1000_b_cnt_90_days_update_sum_rt, trans_amt_7d, loyalty_amt, days_between_openaccount_and_excute, transfer_cnt_7d, databundle_cnt_3m, max_id_authen_days, member_num, stragety_to_ins_test_group, screen_brightness, phone_electric_quantity, gender, app350_install_days, min_total_finsave_amt_d90, build_host, min_verify_days, same_device_info_differ_regmobile_last15_cnt_plampay, same_device_info_apply_total_times, ng_applist_small_1000_b_ratio10_days_update_min_rt, same_device_info_apply_last30_times, ng_nin_cnt_off, pp_kyc_state_name, ng_last_bill_max_overdue_days_off, phone_brand, same_full_name_differ_cnt_3d, ng_appname_okash_dd, ng_collect_cuiji_unconnect_times_20d, airtime_cnt_3m, ng_current_max_overdue_days_off"
t2,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,24,"max_paid_interest_180d_t79, deduct_ratio_due_180d_t79, max_paid_interest_90d_ratio_prev_t79, repay_ratio_due_60d_t79, early_ratio_due_180d_t79, avg_diff_days_180d_t79, repay_ratio_due_180d_t79, max_paid_total_60d_ratio_prev_t79, avg_diff_days_90d_t79, avg_diff_days_30d_t79, avg_diff_days_90d_t9, active_ratio_due_180d_t79, avg_diff_days_60d_t7, repay_pay_cnt_180d_t79, ontime_settle_loan_cnt_180d_t79, repay_ratio_due_90d_t7, avg_diff_days_90d_t7, avg_diff_days_180d_t7, max_paid_interest_30d_ratio_prev_t79, deduct_ratio_due_90d_t79, active_ratio_due_180d_t7, max_paid_interest_60d_ratio_prev_t79, max_paid_interest_90d_ratio_prev_t7, avg_diff_days_30d_t7"
t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,23,"press_180d_all, press_90d_all, press_15d_t9, press_prev90d_all, press_60d_all, press_over_quota_180d_all, press_180d_t7, press_30d_t9, press_180d_t9, press_90d_t7, press_7d_all, press_over_quota_90d_all, ratio_press_cur30_prev30_all, press_30d_all, ratio_press_cur60_prev60_all, press_15d_all, ratio_press_cur90_prev90_all, ratio_press_cur15_prev15_all, ratio_press_cur7_prev7_all, press_over_quota_180d_t7, press_over_quota_30d_all, press_over_quota_prev90d_all, ratio_press_cur90_prev90_t7"
t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,181,"payer_amount_median_60d_v2, loan_net_inflow_90d_v2, loan_net_inflow_60d_v2, payer_amount_median_15d_v2, payee_txn_per_day_360d_v2, payee_unique_payer_count_7d_v2, payer_txn_per_day_360d_v2, payer_low_mcht_amt_share_360d_v2, payee_txn_per_day_180d_v2, payee_recent_180_amount_share_15d_v2, fail_txn_ratio_360d_v2, payer_success_rate_60d_v2, payee_recent_360_txn_share_7d_v2, payee_recent_180_payer_share_30d_v2, payee_low_mcht_amt_share_360d_v2, fail_txn_ratio_90d_v2, payee_fail_rate_360d_v2, payer_unique_payee_count_180d_v2, payee_avg_txn_per_payer_360d_v2, payee_high_mcht_amt_share_360d_v2, transfer_fail_ratio_360d_v2, payee_amount_cv_360d_v2, payee_unique_hours_active_7d_v2, payer_recent_180_amount_share_90d_v2, payee_recent_360_payer_share_7d_v2, payee_unique_hours_active_15d_v2, short_cycle_inflow_ratio_t1_v2, payee_unique_payer_count_360d_v2, payee_avg_txn_per_payer_shift_7d_vs_360d_v2, payee_txn_per_day_15d_v2, payer_start_of_month_amount_ratio_360d_v2, payer_recent_360_txn_share_7d_v2, fail_txn_ratio_15d_v2, payee_success_rate_180d_v2, payer_unique_payee_count_60d_v2, payer_repay_cnt_15d_v2, payee_start_of_month_amount_ratio_30d_v2, payee_recent_180_payer_share_15d_v2, payer_recent_180_amount_share_7d_v2, payer_unique_payee_count_360d_v2, payee_eom_amount_ratio_30d_v2, payer_repay_cnt_180d_v2, payer_amount_cv_360d_v2, payer_repay_cnt_30d_v2, payer_low_mcht_amt_share_30d_v2, payee_recent_180_payer_share_90d_v2, payee_recent_180_payer_share_60d_v2, payee_amount_cv_90d_v2, fail_txn_cnt_180d_v2, payee_recent_360_payer_share_30d_v2, transfer_fail_ratio_180d_v2, payer_low_mcht_amt_share_180d_v2, payer_low_mcht_amt_share_15d_v2, payee_amount_cv_180d_v2, payee_avg_txn_per_payer_shift_7d_vs_180d_v2, payee_low_mcht_amt_share_180d_v2, payee_recent_180_payer_share_7d_v2, transfer_fail_ratio_60d_v2, transfer_fail_cnt_360d_v2, payee_low_mcht_cnt_90d_v2, payee_amount_cv_60d_v2, payer_unknown_bank_amt_share_360d_v2, payee_txn_per_day_30d_v2, payee_recent_360_payer_share_15d_v2, payer_low_mcht_amt_share_60d_v2, payee_avg_txn_per_payer_90d_v2, payee_success_rate_60d_v2, payee_fail_rate_90d_v2, payee_low_mcht_amt_share_30d_v2, payer_low_mcht_amt_share_90d_v2, fail_txn_cnt_360d_v2, payer_amount_cv_180d_v2, avg_savings_rate_3m_v2, payer_amount_cv_7d_v2, payee_avg_txn_per_payer_180d_v2, payee_amount_cv_30d_v2, savings_rate_t1_v2, payer_amount_cv_90d_v2, payer_amount_cv_30d_v2, repay_to_topup_ratio_360d_v2, payer_amount_cv_60d_v2, payer_repay_cnt_360d_v2_v1, payer_repay_cnt_60d_v2, payee_recent_360_txn_share_15d_v2, transfer_fail_ratio_90d_v2, payee_success_rate_360d_v2, payee_recent_180_txn_share_15d_v2, payee_recent_180_txn_share_90d_v2, loan_net_inflow_30d_v2, payer_recent_180_txn_share_90d_v2, fail_txn_ratio_60d_v2, payer_success_rate_30d_v2, payer_success_rate_7d_v2, max_income_day_std_3m_v2, payee_amount_cv_15d_v2, payee_success_rate_7d_v2, payee_success_rate_90d_v2, payee_recent_180_txn_share_30d_v2, payer_start_of_month_amount_ratio_30d_v2, payer_recent_360_txn_share_60d_v2, payer_low_mcht_cnt_360d_v2, payee_recent_180_txn_share_60d_v2, payee_recent_360_txn_share_60d_v2, fail_txn_cnt_60d_v2, payee_weekend_txn_count_ratio_90d_v2, fail_txn_ratio_30d_v2, payer_recent_180_txn_share_60d_v2, payee_start_of_month_amount_ratio_360d_v2, payer_fail_rate_90d_v2, payee_low_mcht_amt_share_15d_v2, payee_unknown_bank_cnt_15d_v2, payer_recent_180_payee_share_15d_v2, payer_recent_360_amount_share_180d_v2, payee_eom_amount_ratio_90d_v2, payee_recent_360_amount_share_180d_v2, payee_recent_180_payer_share_180d_v2, payer_transfer_top1_amt_share_90d_v2, payer_recent_360_payee_share_30d_v2, transfer_fail_ratio_30d_v2, payer_recent_360_txn_share_180d_v2, payer_end_of_month_txn_count_ratio_30d_v2, payer_eom_amount_ratio_60d_v2, payer_end_of_month_txn_count_ratio_90d_v2, payer_transfer_top1_amt_share_30d_v2, payer_amount_cv_15d_v2, payee_fail_rate_30d_v2, payer_night_txn_ratio_shift_30d_vs_180d_v2, transfer_fail_ratio_15d_v2, payee_start_of_month_amount_ratio_180d_v2, payee_recent_360_payer_share_60d_v2, payer_eom_amount_ratio_360d_v2, payer_counterparty_hhi_7d_v2, payer_low_mcht_cnt_90d_v2, payer_weekend_amount_sum_ratio_180d_v2, payee_recent_360_amount_share_15d_v2, payer_eom_amount_ratio_30d_v2, payee_amount_cv_7d_v2, payee_night_txn_ratio_shift_30d_vs_180d_v2, payer_avg_txn_per_payee_shift_7d_vs_180d_v2, payee_eom_amount_ratio_360d_v2, avg_repay_amt_3m_v2, payee_weekend_txn_count_ratio_360d_v2, payee_weekend_amount_sum_ratio_90d_v2, payee_recent_360_amount_share_60d_v2, payer_transfer_top1_amt_share_15d_v2, payer_avg_txn_per_payee_30d_v2, payee_counterparty_hhi_180d_v2, payer_counterparty_hhi_15d_v2, payee_weekend_txn_count_ratio_180d_v2, payer_transfer_top1_amt_share_180d_v2, payer_recent_360_amount_share_7d_v2, payer_night_txn_count_ratio_360d_v2, payee_transfer_top1_amt_share_360d_v2, payee_night_amount_sum_ratio_360d_v2, payer_amount_median_360d_v2, payer_fail_rate_360d_v2, payee_avg_txn_per_payer_60d_v2, payer_avg_txn_per_payee_360d_v2, payer_success_rate_360d_v2, payer_fail_rate_60d_v2, payer_night_txn_count_ratio_180d_v2, payer_counterparty_hhi_360d_v2, payer_txn_count_360d_v2, fail_txn_ratio_180d_v2, payee_start_of_month_amount_ratio_90d_v2, payer_avg_txn_per_payee_shift_7d_vs_360d_v2, payer_transfer_top1_amt_share_360d_v2, payee_low_mcht_amt_7d_v2, payee_eom_amount_ratio_15d_v2, payee_txn_per_day_60d_v2, payer_recent_180_txn_share_7d_v2, payee_txn_per_day_90d_v2, payee_unknown_bank_cnt_share_180d_v2, payer_txn_per_day_180d_v2, payee_weekend_amount_sum_ratio_15d_v2, payee_recent_180_amount_share_7d_v2, payer_fee_cnt_360d_v2, payee_low_mcht_amt_share_60d_v2, cashout_to_inflow_ratio_360d_v2, payer_recent_360_payee_share_15d_v2, payer_recent_360_payee_share_7d_v2"
t5,pb_biz_credit.ng_customer_pay_plan_flow_feas,19,"last_initiative_pay_days, first_initiative_pay_days, last_pay_days, first_pay_days, dpd_due365d_dpd2_bad_due_rt, dpd_due365d_dpd4_bad_due_rt, dpd_due365d_dpd8_bad_eli_rt, dpd_due365d_dpd3_bad_eli_rt, dpd_due365d_dpd2_bad_eli_rt, dpd_due365d_dpd3_bad_due_rt, dpd_due180d_dpd4_bad_eli_rt, dpd_due180d_dpd3_bad_eli_rt, dpd_due_latest_dpd1_bad_eli_rt, dpd_due_latest_dpd1_bad_due_rt, fpd_loan180d_dpd1_eli_rt, dpd_due90d_dpd3_bad_due_rt, dpd_due180d_dpd8_bad_eli_rt, dpd_due365d_dpd1_bad_due_rt, dpd_due365d_dpd4_bad_eli_rt"
t6,pb_biz_credit.keep_jch_ng_cid_util_feature_final,22,"cv_util_180d_all, last_util_1_all, util_180d_sumratio_all, avg_util_180d_all, min_util_180d_all, util_90d_sumratio_all, max_util_7d_all, cv_util_30d_all, min_util_7d_all, last_util_1_t9, avg_util_90d_all, avg_util_15d_all, util_90d_sumratio_t9, max_util_15d_t7, std_util_180d_all, util_180d_sumratio_t9, min_util_180d_t9, first_util_1_all, last_util_1_t7, first_util_3_t9, min_util_180d_t7, cv_util_180d_t7"
t7,pb_biz_credit.keep_jch_ng_cid_apply_feature_final,9,"days_since_registration, days_since_last_apply_type9, days_since_first_apply_all, days_since_last_apply_all, days_since_first_apply_type9, days_since_last_apply_type7, concat_last_most_type_30d, days_reg_to_first_apply_type9, days_reg_to_first_apply_type79"
t8,pb_biz_credit.keep_ng_jch_cid_overdue_feature_final,16,"max_od_days_180d_79, last_overdue_gap_to_asof_days_79, max_od_days_30d_79, max_od_days_90d_79, last1_od_days_79, max_od_days_60d_79, last3_od_days_79, last2_od_days_79, first_overdue_gap_from_first_loan_days_79, max_od_days_60d_9, last1_od_days_9, last1_od_days_7, first_overdue_gap_from_first_loan_days_7, last_overdue_gap_to_asof_days_7, last3_od_days_7, last2_od_days_7"
t9,pb_biz_credit.keep_jch_ng_cid_multi_loan_feature_final,7,"bank_cnt_90d, top1_inst_query_ratio_180d, bvn_cnt_15d_div_90d, blacklist_cnt_180d, bvn_cnt_30d_div_90d, multi_data_cnt_30d_div_90d, bank_cnt_180d"
t10,pb_biz_credit.keep_ng_jch_bvn_nin_phn_multi_loan_feature,4,"bank_cnt_90d_v1, top1_inst_query_ratio_180d_v1, blacklist_cnt_180d_v1, bank_cnt_180d_v1"
