name,解释
businessid,借据号
jq_date,结清日期
jq_time,结清时间
str_type,策略分流标签:枚举值（new：新策略，old:旧策略，other：其他策略;)
app_flow_flag,策略流标签
cashloan_cid_mob_type,客群标签：枚举值（-1：异常数据，1：新客:2：次新客:3：老客）
defq_use_rate_level,"额度使用率：枚举值(1：高额度使用率,2：中额度使用率,3：低额度使用率,4：其他)"
jq_customer_flag,"结清客户标签：枚举值（\N：标准结清客,HAVE_SINGLE_LOAN：有单笔且在贷,HAVE_SINGLE_NOLOAN：单笔产品、已无在贷、NO_SINGLE：无单笔在贷）"
separate_installment_loan_cnt,借款次数
jq_mix_score_bin,"风险评级：枚举值（\N：空值,-1：异常值,1：E,2：D,3：C,4：B,5：A）"
cash_remark1,提额幅度
after_adjust_credit_limit,客户额度盖帽
credit_max_limit,客户单次提幅盖帽
loan_amount,借款金额
jq_credit_quota,结清提额前额度
cash_quota_amount_now_after,结清提额后的额度
te_flag,提额标签：枚举值（0：不满足提额标签，1：满足提额标签，2：不满足提额标签）
next_loan_flag,是否发起下一笔
next_curday_flag,是否当天发起下一笔
curr_credit_quota,下一笔借据的额度
loan_prin,下一笔借据的借款
total_fee,总费用
interest_ratio,利率
interest_fee_daily,日息
loan_period_days,借款天数
curr_loan_terms,当前借款期数
one_period_days_new,分期的天数
fpd1_fz_dd,fpd1客户分子
fpd1_fm_dd,fpd1客户分母
fpd1_fz_bj,fpd1金额分子
fpd1_fm_bj,fpd1金额分母
fpd7_fz_dd,fpd7客户分子
fpd7_fm_dd,fpd7客户分母
fpd7_fz_bj,fpd7金额分子
fpd7_fm_bj,fpd7金额分母
fpd15_fz_dd,fpd15客户分子
fpd15_fm_dd,fpd15客户分母
fpd15_fz_bj,fpd15金额分子
fpd15_fm_bj,fpd15金额分母
fpd30_fz_dd,fpd30客户分子
fpd30_fm_dd,fpd30客户分母
fpd30_fz_bj,fpd30金额分子
fpd30_fm_bj,fpd30金额分母
d30_mob2_fz_bj,d30_mob2金额分子
d30_mob2_fm_bj,d30_mob2金额分母
d30_mob3_fz_bj,d30_mob3金额分子
d30_mob3_fm_bj,d30_mob3金额分母
