excel_row,model,variable_name,output_name,source_alias,source_table,source_cell,online_name,中文名,一级分类,二级分类
2,loancntall,loan_total_fee,loan_total_fee,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.loan_total_fee,,,
3,loancntall,loan_total_interest,loan_total_interest,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.loan_total_interest,,,
4,loancntall,loan_interest_days,loan_interest_days,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.loan_interest_days,,,
5,loancntall,max_paid_interest_180d_t79,max_paid_interest_180d_t79,t2,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,pb_biz_credit.keep_jch_ng_cid_repay_feature_final,$.max_paid_interest_180d_t79,近180天最大实付期还利息_t79,还款履约,实际还款行为特征
6,loancntall,press_180d_all,press_180d_all,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,$.press_180d_all,近180天：all单位还款压力,账户状态,额度使用与账户余额特征
7,loancntall,latitude,latitude,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.latitude,纬度,授信申请,地理位置与居住工作地特征
8,loancntall,app_version,app_version,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.app_version,APPversion,授信申请,移动设备与APP画像特征
9,loancntall,payer_amount_median_60d_v2,payer_amount_median_60d_v2,t4,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,pb_ads_credit.ads_ng_risk_pp_cid_character_360d,$.payer_amount_median_60d_v2,"付款方: 过去60天 [T-61, T-2] 付款中位数",交易行为,支付交易行为特征
10,loancntall,age,age,t1,pb_ads_credit.direct_send_in_out_para_data_df,pb_ads_credit.direct_send_in_out_para_data_df,$.age,年龄,外部数据,征信/CRC报告特征
11,loancntall,press_90d_all,press_90d_all,t3,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,pb_biz_credit.keep_jch_ng_cid_bal_feature_final,$.press_90d_all,近90天：all单位还款压力,账户状态,额度使用与账户余额特征
