policy_key,expected_cash_remark1,total_cnt,coefficient_match_cnt,coefficient_mismatch_cnt,coefficient_match_rate,te_flag_1_cnt,te_flag_0_cnt,other_te_flag_cnt,actual_raise_cnt,actual_unchanged_cnt,actual_down_cnt,te_flag_vs_actual_consistency_rate,positive_config_no_raise_cnt,zero_config_actual_raise_cnt,coefficient_consistent,execution_consistent,strategy_consistent,configured_rate_distribution,observation_status,lookup_status
无单期 | 高额度使用率 | 2 | C,0.6,1498,596,902,0.3978638184245661,353,1145,0,353,1145,0,1.0,1145,0,False,True,False,"{""0.3"": 902, ""0.6"": 596}",,
无单期 | 高额度使用率 | 1 | E,0.0,1384,613,771,0.4429190751445087,88,1296,0,88,1296,0,1.0,683,0,False,True,False,"{""0"": 613, ""0.2"": 771}",,
无单期 | 高额度使用率 | 2 | D,0.0,1225,475,750,0.3877551020408163,257,968,0,257,968,0,1.0,493,0,False,True,False,"{""0"": 475, ""0.2"": 750}",,
无单期 | 高额度使用率 | 1 | D,0.0,1223,497,726,0.4063777596075225,376,847,0,376,847,0,1.0,350,0,False,True,False,"{""0"": 497, ""0.3"": 726}",,
无单期 | 高额度使用率 | 3 | B,1.2,1094,433,661,0.39579524680073125,586,508,0,586,508,0,1.0,508,0,False,True,False,"{""1"": 661, ""1.2"": 433}",,
无单期 | 高额度使用率 | 1 | B,2.0,1050,405,645,0.38571428571428573,324,726,0,324,726,0,1.0,726,0,False,True,False,"{""1"": 645, ""2"": 405}",,
无单期 | 高额度使用率 | 1 | C,0.8,1000,418,582,0.418,304,696,0,304,696,0,1.0,696,0,False,True,False,"{""0.6"": 582, ""0.8"": 418}",,
无单期 | 高额度使用率 | 3 | C,0.2,950,388,562,0.40842105263157896,432,518,0,432,518,0,1.0,518,0,False,True,False,"{""0.2"": 388, ""0.3"": 562}",,
无单期 | 高额度使用率 | 2 | B,1.5,726,315,411,0.43388429752066116,275,451,0,275,451,0,1.0,451,0,False,True,False,"{""1"": 411, ""1.5"": 315}",,
有单期借款 | 高额度使用率 | 1 | C,0.2,629,629,0,1.0,383,246,0,383,246,0,1.0,246,0,True,True,True,"{""0.2"": 629}",,
无单期 | 高额度使用率 | 4 | C,0.6,581,581,0,1.0,249,332,0,249,332,0,1.0,332,0,True,True,True,"{""0.6"": 581}",,
有单期借款 | 低额度使用率 | 7 | B,0.15,507,329,178,0.6489151873767258,105,402,0,105,402,0,1.0,224,0,False,True,False,"{""0"": 178, ""0.15"": 329}",,
无单期借款 | 高额度使用率 | 1 | E,0.0,455,202,253,0.44395604395604393,63,392,0,63,392,0,1.0,190,0,False,True,False,"{""0"": 202, ""0.2"": 253}",,
有单期借款 | 低额度使用率 | 2 | C,0.3,396,148,248,0.37373737373737376,232,164,0,232,164,0,1.0,164,0,False,True,False,"{""0.1"": 248, ""0.3"": 148}",,
无单期 | 高额度使用率 | 2 | A,2.0,382,382,0,1.0,158,224,0,158,224,0,1.0,224,0,True,True,True,"{""2"": 382}",,
无单期 | 高额度使用率 | 2 | E,0.0,376,148,228,0.39361702127659576,41,335,0,41,335,0,1.0,187,0,False,True,False,"{""0"": 148, ""0.1"": 228}",,
有单期借款 | 高额度使用率 | 1 | B,0.6,371,144,227,0.3881401617250674,312,59,0,312,59,0,1.0,59,0,False,True,False,"{""0.4"": 227, ""0.6"": 144}",,
无单期 | 高额度使用率 | 3 | A,2.5,366,129,237,0.3524590163934426,180,186,0,180,186,0,1.0,186,0,False,True,False,"{""2"": 237, ""2.5"": 129}",,
无单期 | 高额度使用率 | 1 | A,3.0,363,140,223,0.3856749311294766,126,237,0,126,237,0,1.0,237,0,False,True,False,"{""2"": 223, ""3"": 140}",,
无单期 | 高额度使用率 | 3 | D,0.0,356,169,187,0.4747191011235955,72,284,0,72,284,0,1.0,115,0,False,True,False,"{""0"": 169, ""0.2"": 187}",,
有单期借款 | 低额度使用率 | 1 | C,0.1,353,353,0,1.0,226,127,0,226,127,0,1.0,127,0,True,True,True,"{""0.1"": 353}",,
有单期借款 | 高额度使用率 | 1 | D,0.0,353,153,200,0.43342776203966005,82,271,0,82,271,0,1.0,121,3,False,True,False,"{""0"": 153, ""0.1"": 200}",,
有单期借款 | 低额度使用率 | 7 | C,0.2,341,40,301,0.11730205278592376,100,241,0,100,241,0,1.0,146,0,False,True,False,"{""0"": 95, ""0.1"": 206, ""0.2"": 40}",,
无单期 | 高额度使用率 | 4 | B,1.0,338,338,0,1.0,174,164,0,174,164,0,1.0,164,0,True,True,True,"{""1"": 338}",,
有单期借款 | 高额度使用率 | 2 | C,0.4,332,154,178,0.463855421686747,217,115,0,217,115,0,1.0,115,0,False,True,False,"{""0.2"": 178, ""0.4"": 154}",,
无单期 | 高额度使用率 | 4 | D,0.0,326,135,191,0.41411042944785276,79,247,0,79,247,0,1.0,112,0,False,True,False,"{""0"": 135, ""0.2"": 191}",,
有单期借款 | 高额度使用率 | 2 | D,0.0,305,143,162,0.46885245901639344,102,203,0,102,203,0,1.0,61,1,False,True,False,"{""0"": 143, ""0.1"": 162}",,
有单期借款 | 低额度使用率 | 2 | D,0.0,301,92,209,0.30564784053156147,102,199,0,102,199,0,1.0,108,1,False,True,False,"{""0"": 92, ""0.1"": 209}",,
无单期借款 | 高额度使用率 | 1 | D,0.0,292,107,185,0.3664383561643836,163,129,0,163,129,0,1.0,39,17,False,True,False,"{""0"": 107, ""0.3"": 185}",,
有单期借款 | 高额度使用率 | 1 | E,0.0,279,114,165,0.40860215053763443,51,228,0,51,228,0,1.0,114,0,False,True,False,"{""0"": 114, ""0.1"": 165}",,
有单期借款 | 低额度使用率 | 3 | C,0.4,269,101,168,0.3754646840148699,155,114,0,155,114,0,1.0,114,0,False,True,False,"{""0.1"": 168, ""0.4"": 101}",,
有单期借款 | 低额度使用率 | 1 | D,0.0,262,88,174,0.33587786259541985,79,183,0,79,183,0,1.0,97,2,False,True,False,"{""0"": 88, ""0.1"": 174}",,
有单期借款 | 低额度使用率 | 7 | D,0.2,262,23,239,0.08778625954198473,33,229,0,33,229,0,1.0,165,1,False,True,False,"{""0"": 65, ""0.1"": 174, ""0.2"": 23}",,
有单期借款 | 高额度使用率 | 2 | B,0.6,262,103,159,0.3931297709923664,214,48,0,214,48,0,1.0,48,0,False,True,False,"{""0.5"": 159, ""0.6"": 103}",,
有单期借款 | 高额度使用率 | 3 | D,0.0,258,114,144,0.4418604651162791,94,164,0,94,164,0,1.0,52,2,False,True,False,"{""0"": 114, ""0.1"": 144}",,
无单期 | 高额度使用率 | 5 | B,0.8,256,98,158,0.3828125,140,116,0,140,116,0,1.0,116,0,False,True,False,"{""0.8"": 98, ""1"": 158}",,
有单期借款 | 低额度使用率 | 1 | B,0.2,232,232,0,1.0,185,47,0,185,47,0,1.0,47,0,True,True,True,"{""0.2"": 232}",,
有单期借款 | 低额度使用率 | 3 | B,0.3,229,83,146,0.3624454148471616,131,98,0,131,98,0,1.0,98,0,False,True,False,"{""0.2"": 146, ""0.3"": 83}",,
无单期 | 高额度使用率 | 5 | C,0.5,222,222,0,1.0,104,118,0,104,118,0,1.0,118,0,True,True,True,"{""0.5"": 222}",,
有单期借款 | 高额度使用率 | 1 | A,0.8,217,217,0,1.0,194,23,0,194,23,0,1.0,23,0,True,True,True,"{""0.8"": 217}",,
有单期借款 | 低额度使用率 | 2 | B,0.3,215,77,138,0.3581395348837209,120,95,0,120,95,0,1.0,95,0,False,True,False,"{""0.2"": 138, ""0.3"": 77}",,
有单期借款 | 高额度使用率 | 3 | C,0.4,207,89,118,0.42995169082125606,135,72,0,135,72,0,1.0,72,0,False,True,False,"{""0.1"": 118, ""0.4"": 89}",,
有单期借款 | 低额度使用率 | 7 | E,0.0,199,64,135,0.32160804020100503,34,165,0,34,165,0,1.0,101,0,False,True,False,"{""0"": 64, ""0.1"": 135}",,
无单期 | 中额度使用率 | 1 | E,0.0,193,66,127,0.34196891191709844,21,172,0,21,172,0,1.0,106,0,False,True,False,"{""0"": 66, ""0.2"": 127}",,
